plot#,lat,long,elv,soilC,A_thick,AB_thick,AAB_tck,B_thick,soil_depth,tree_h_M,Diam_C,soil_C,abv_C,BAR,comm,dominant,主要优势树,坡度,坡向,坡位,样地描述
XXALYF080726001,47.36,128.193,305,11,15,30,45,20,65,12.6291666,13.92083337,11,2.802501471,0.25,兴安落叶松人工林,兴安落叶松,兴安落叶松,10,165,中,
XXALYF080726002,47.374333,128.18315,307,11,18,0,18,20,38,13.9999999,20.40999966,11,1.400227806,0.12,红松-枫桦林,红松,红松,50,东,,
XXALYF080726004,47.360638,128.193708,324,7,10,0,10,35,45,12.03225811,15.08709688,7,2.024570284,0.3,白桦林,白桦,白桦,1.90915239,0,,天然次生林，有旅游。
XXALYF080727003,46.693928,128.878592,257,7,15,0,15,23,38,16.24736842,18.53157887,7,2.839488774,0.38,兴安落叶松人工林,兴安落叶松,兴安落叶松,14.24415779,66.80140686,,
XXALYF080727005,46.693,128.87,535,20,33,0,33,16,49,8.545454545,9.287878788,20,0.96376487,0.05,兴安落叶松朝鲜柳人天混,兴安落叶松,兴安落叶松 朝鲜柳,10,东南,,
XXALYF080728007,46.890345,128.42765,358,8,18,0,18,18,36,9.134615385,11.17948718,8,2.328922396,0.3,红松阔叶林,红松,红松,13,245,中下,
XXALYF080728009,46.894977,128.415218,343,6,19,27,46,28,74,13.36059114,8.767290633,6,2.452941829,0.42,兴安落叶松人工林,兴安落叶松,兴安落叶松,3.843668222,240.2551117,,
XXALYF080729011,47.18094,128.895343,405,17,34,0,34,23,57,15.02714286,17.34714288,17,9.897545794,0.57,鱼鳞云杉红松林,红松,红松,23,167,中下,
XXALYF080729012,47.18,128.895,380,9,20,0,20,20,40,16.04146328,25.62926846,9,10.43279591,1.12,红松林,红松,红松,18,东北偏东70,,
XXALYF080729013,47.184323,128.887697,388,10,23,0,23,27,50,13.44267241,10.41982761,10,3.207052979,0.31,白桦林,白桦,白桦,4,320,下,
XXALYF080729014,47.189022,128.441498,342,8,13,17,30,15,45,18.86969697,20.14999994,8,7.312266133,0.91,兴安落叶松天然林,兴安落叶松,兴安落叶松,0,,,
XXALYF080730016,47.137915,128.915588,325,6,22,0,22,25,47,11.28834947,15.79514556,6,7.818755395,1.41,杨桦林,白桦,色木槭  白桦 小叶杨,3,245,下,
XXALYF080801018,46.89733,129.077698,412,6,10,20,30,20,50,10.10210521,9.56315788,6,2.37590593,0.39,白桦杂木林,白桦,白桦,1.39176345,329.0362549,中下,
XXALYF080801019,46.932497,129.117948,370,8,18,0,18,18,36,16.1886364,12.78977274,8,2.968500316,0.35,兴安落叶松混林,兴安落叶松,兴安落叶松,12.40776348,155.3764343,,
XXALYF080802020,47.233394,127.117281,408,11,17,0,17,23,40,14.34042553,20.67021278,11,4.219487214,0.39,兴安落叶松人工林,兴安落叶松,兴安落叶松,3,165,下,
XXALYF080802021,47.232227,128.742917,414,15,25,0,25,25,50,18.17499995,23.28124992,15,8.025179173,0.52,红松天然林,红松,红松,3,214度,下,
XXALYF080802024,47.202053,128.491667,336,15,33,0,33,35,68,7.941176475,6.825210088,15,2.748209191,0.18,白桦林,白桦,白桦,15,325,中下,
XXALYF080803027,46.810998,129.037017,494,10,16,0,16,60,76,9.859799028,7.060804016,10,1.418248787,0.14,兴安落叶松人工林,兴安落叶松,兴安落叶松,10,10,,
XXALYF080803028,46.8352,129.13491,509,16,25,0,25,20,45,12.42421054,10.30105266,16,2.993384786,0.18,杨桦林,白桦,白桦,15,10,下,
XXALYF080804034,47.104565,129.414667,169,2,3,28,31,9,40,8.712499996,14.34583339,2,1.65648249,0.7,白桦天然林,白桦,白桦,2.90182161,9.46232224,下,
XXALYF080804035,47.193358,129.246873,198,4,11,0,11,6,17,14.92987021,20.78589735,4,6.144135477,1.66,兴安落叶松人工林,兴安落叶松,兴安落叶松,18.70367813,76.47683716,中下,
XXALYF080804036,47.215273,129.292282,189,11,21,0,21,15,36,10.75235296,8.968235282,11,2.379840825,0.22,兴安落叶松林,兴安落叶松,兴安落叶松,5.7302556,265.2363586,,
XXALYF080804037,47.2147,129.226545,193,2,4,55,59,0,59,10.30769226,12.24769225,2,2.121461166,0.89,针阔混交林,白桦,白桦、春榆,19.18076897,43.05851364,,
XXALYF080806038,47.564255,128.490893,381,7,22,0,22,73,95,8.370731726,11.72142854,7,0.971775368,0.14,针阔混交林,兴安落叶松,榆树 白桦 兴安落叶松,15度,175,中下,
XXALYF080806039,47.563775,128.403,235,4,6,0,6,10,16,10.33387098,14.69032256,4,2.561375387,0.67,兴安落叶松人工林,兴安落叶松,兴安落叶松,7,180,中,
XXALYF080806040,47.56835,128.341635,346,4,7,6,13,9,22,5.679521533,6.78878503,4,2.282001264,0.65,兴安落叶松白桦林,白桦,白桦,9.04603195,47.121098,,
XXALYF080807042,47.470748,128.705992,371,5,13,0,13,15,28,9.900719499,11.25804197,5,2.425292903,0.49,兴安落叶松人工林,兴安落叶松,兴安落叶松,4.58231497,351.027374,,
XXALYF080808045,47.414143,129.745308,381,7,11,0,11,12,23,10.35384618,10.15253166,7,4.451041743,0.61,白桦林,白桦,白桦,27.79130554,55.30484772,,
