ydID,ydID2,Longitude,Latitude,Sample_end_latest,SS
CBSSYF080628001,CBSSYF2008001,128.1212,42.4416,2013-1-1,CBSS
CBSSYF080629002,CBSSYF2008002,128.4899,42.3932,2013-1-1,CBSS
CBSSYF080630003,CBSSYF2008003,128.0986,42.4039,2013-1-1,CBSS
CBSSYF080701004,CBSSYF2008004,128.5144,42.0403,2013-1-1,CBSS
CBSSYF080704005,CBSSYF2008005,128.2135,42.1989,2013-1-1,CBSS
CBSSYF080704006,CBSSYF2008006,128.1891,42.1686,2013-1-1,CBSS
CBSSYF080705007,CBSSYF2008007,128.2509,42.0766,2013-1-1,CBSS
CBSSYF080707008,CBSSYF2008008,128.1723,42.2454,2013-1-1,CBSS
CBSSYF080708009,CBSSYF2008009,128.1053,42.5991,2013-1-1,CBSS
CBSSYF080709010,CBSSYF2008010,128.0743,42.5396,2013-1-1,CBSS
CBSSYF080713012,CBSSYF2008012,128.4363,42.0349,2013-1-1,CBSS
CBSSYF080713013,CBSSYF2008013,128.3652,42.0453,2013-1-1,CBSS
CBSSYF080714014,CBSSYF2008014,128.3654,42.2436,2013-1-1,CBSS
CBSSYF080715015,CBSSYF2008015,128.0458,42.4385,2013-1-1,CBSS
CBSSYF080729016,CBSSYF2008016,128.0808,42.4148,2013-1-1,CBSS
CBSSYF080730017,CBSSYF2008017,128.1,42.3913,2013-1-1,CBSS
CBSSYF080730018,CBSSYF2008018,128.0858,42.3846,2013-1-1,CBSS
CBSSYF080731019,CBSSYF2008019,128.0721,42.0992,2013-1-1,CBSS
CBSSYF080802020,CBSSYF2008020,128.1386,42.1822,2013-1-1,CBSS
CBSSYF080802021,CBSSYF2008021,128.1412,42.1815,2013-1-1,CBSS
CBSSYF080803022,CBSSYF2008022,128.0674,42.0609,2013-1-1,CBSS
CBSSYF080804023,CBSSYF2008023,128.1186,42.3153,2013-1-1,CBSS
CBSSYF080805025,CBSSYF2008025,128.0615,42.0536,2013-1-1,CBSS
CBSSYF080805026,CBSSYF2008026,128.0561,42.0639,2013-1-1,CBSS
CBSSYF080805027,CBSSYF2008027,128.0686,42.0785,2013-1-1,CBSS
CBSSYF080808028,CBSSYF2008028,128.0619,42.0425,2013-1-1,CBSS
CBSSYF080811035,CBSSYF2008035,128.1499,42.2371,2013-1-1,CBSS
CBSSYF080814036,CBSSYF2008036,128.1167,42.2336,2013-1-1,CBSS
CBSSYF080829041,CBSSYF2008041,128.8581,42.0135,2013-1-1,CBSS
CBSSYF080830042,CBSSYF2008042,127.6933,42.1989,2013-1-1,CBSS
CBSSYF080830043,CBSSYF2008043,128.0001,41.9596,2013-1-1,CBSS
CBSSYF080902045,CBSSYF2008045,127.9068,41.9726,2013-1-1,CBSS
CBSSYF080908046,CBSSYF2008046,127.9007,42.2244,2013-1-1,CBSS
CBSSYF090710047,CBSSYF2009047,127.8904,42.2613,2013-1-1,CBSS
CBSSYF090711048,CBSSYF2009048,127.8241,42.2917,2013-1-1,CBSS
CBSSYF090711049,CBSSYF2009049,127.8399,42.3086,2013-1-1,CBSS
CBSSYF090711050,CBSSYF2009050,127.9057,42.3477,2013-1-1,CBSS
CBSSYF090712051,CBSSYF2009051,128.0145,42.3791,2013-1-1,CBSS
CBSSYF090712052,CBSSYF2009052,127.9861,42.3601,2013-1-1,CBSS
CBSSYF090713053,CBSSYF2009053,127.9042,42.1814,2013-1-1,CBSS
CBSSYF090713054,CBSSYF2009054,127.913,42.2165,2013-1-1,CBSS
CBSSYF090716055,CBSSYF2009055,127.8817,42.2794,2013-1-1,CBSS
CBSSYF090716056,CBSSYF2009056,127.8449,42.3129,2013-1-1,CBSS
CBSSYF090717057,CBSSYF2009057,128.094,42.3468,2013-1-1,CBSS
CBSSYF090717058,CBSSYF2009058,128.094,42.3456,2013-1-1,CBSS
CBSSYF090718059,CBSSYF2009059,128.1228,42.3078,2013-1-1,CBSS
CBSSYF090718060,CBSSYF2009060,128.1087,42.306,2013-1-1,CBSS
CBSSYF090719061,CBSSYF2009061,128.1403,42.2641,2013-1-1,CBSS
CBSSYF090719062,CBSSYF2009062,128.1491,42.2652,2013-1-1,CBSS
CBSSYF090720063,CBSSYF2009063,128.1595,42.238,2013-1-1,CBSS
CBSSYF090720064,CBSSYF2009064,128.1613,42.2369,2013-1-1,CBSS
CBSSYF090721065,CBSSYF2009065,128.1429,42.1826,2013-1-1,CBSS
CBSSYF090803066,CBSSYF2009066,128.1592,42.1841,2013-1-1,CBSS
